impressions,clicks,click_rate,session_length_secs,unique_sites,unique_apps,device_type,device_conn_type,ua_len,hour_mean,hour_std,interclick_mean,interclick_std,c14_nunique,c15_nunique,c16_nunique,c17_nunique,c18_nunique,c19_nunique,c20_nunique,c21_nunique
5.0,1.0,0.2,180.0,1.0,1.0,1.0,1.0,80.0,13.0,0.5,45.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,2.0,0.2,300.0,2.0,1.0,1.0,1.0,75.0,16.0,0.3,30.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,0.166,200.0,1.0,1.0,1.0,1.0,90.0,14.0,0.5,40.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4.0,1.0,0.25,240.0,1.0,1.0,1.0,1.0,85.0,15.0,0.4,60.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,0.33,100.0,1.0,1.0,1.0,1.0,95.0,11.0,0.2,20.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,0.125,400.0,1.0,1.0,1.0,1.0,70.0,17.0,0.6,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,0.0,0.0,360.0,1.0,1.0,1.0,1.0,88.0,10.0,0.3,55.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,0.14,250.0,1.0,1.0,1.0,1.0,77.0,19.0,0.5,30.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50.0,45.0,0.9,60.0,20.0,10.0,0.0,0.0,12.0,3.0,0.1,1.0,0.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
70.0,68.0,0.97,45.0,25.0,12.0,0.0,0.0,11.0,2.0,0.1,0.8,0.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
30.0,25.0,0.83,90.0,15.0,8.0,0.0,0.0,14.0,4.0,0.2,2.0,0.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
40.0,30.0,0.75,80.0,18.0,10.0,0.0,0.0,10.0,5.0,0.2,1.5,0.3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.752841937686407,0.0,0.0019287057333956328,362.44885103280694,0.8157784850118623,0.8418786129084335,0.9950439624248846,0.9967669608500598,88.13887288339649,10.148368808131867,0.30250869385579715,54.357094058725764,10.086073364956409,0.8768385780266899,1.1114540260934758,0.9800696312527271,1.043357827268632,1.1263891562783213,1.0005238676252521,1.0644321529901604,0.8444785461846542
40.16083949230863,30.599628361625168,0.7643888209321983,84.88391464020025,18.135991932135035,9.954764918650136,0.02627531392475131,0.05685390858951385,7.403973152552531,4.813295829010468,0.1930497931827132,1.479871083057041,0.013803093254942,5.042075960121985,4.999069273997169,4.915944415775745,4.828790863522098,4.948482916128009,4.912192325789675,4.978152114576967,4.807860647630836
5.957313700402925,0.0,0.011264923536956017,358.81950789993147,0.5166053265944869,0.8045025677173213,0.981832545456461,1.0504773954666873,88.40992305436552,10.60060555721842,0.31727583344203214,54.14921510813348,10.426992494101293,1.0780446934398353,0.9404593096614058,1.1265359676909557,0.998648298580946,0.9119796489246331,1.078931815489779,1.037984615076795,0.9636753443536303
9.31978689817327,0.9083660910343574,0.20104098143605392,295.2898225526024,2.286579548612176,0.6672633528578269,0.9512153311788384,0.9917688964599456,76.74426246361499,15.437602686387528,0.3083300103196342,29.800204848973653,8.035752494291776,0.9526307600419607,0.9496078247908124,0.9529941931899744,0.8842693088369782,0.8871169414936823,1.0968276889837116,1.0158514969991088,0.9509028544404537
